initial_fault_geometry,start_left_border_fault,start_right_border_fault,end_left_border_fault,end_right_border_fault,start_migration,end_migration,migration_direction,start_oceanic_spreading,n_source_max,n_source_host_max,n_OFM3_max,n_OFM1_max,n_OFM2_max,n_OFM12_max
ULCshear Rside-Ldip-D Lside-Rdip,2.5,2.5,17.0,15.0,8.5,16.5,L,20.5,4,3,1,1,1,2
# Before correction: ULCshear Rside-Ldip-D Lside-Rdip,2.5,2.5,17.0,15.0,8.5,15.5,L,20.5,4,3,1,1,1,2
# Some OFMs in SC also during OS, but most S in L narrow border basin.
