time,buffer,n_source_fault_overlaps,n_host_fault_overlaps,n_source_inactive_fault_overlaps,n_host_inactive_fault_overlaps,n_source,n_source_host,n_potential_OFM12,n_potential_OFM3,n_OFM3,n_OFM1,n_OFM2
00000,0,0,0,0,0,0,0,0,0,0,0,0
00001,0,0,0,0,0,0,0,0,0,0,0,0
00002,0,0,0,0,0,0,0,0,0,0,0,0
00003,0,0,7,0,0,0,0,0,0,0,0,0
00004,0,0,6,0,0,0,0,0,0,0,0,0
00005,0,0,4,0,0,0,0,0,0,0,0,0
00006,0,0,6,0,0,0,0,0,0,0,0,0
00007,0,0,13,0,0,0,0,0,0,0,0,0
00008,0,0,13,0,0,0,0,0,0,0,0,0
00009,0,0,8,0,0,0,0,0,0,0,0,0
00010,0,0,9,0,0,0,0,0,0,0,0,0
00011,0,0,8,0,0,0,0,0,0,0,0,0
00012,0,0,9,0,0,0,0,0,0,0,0,0
00013,0,0,3,0,1,0,0,0,0,0,0,0
00014,0,0,4,0,1,0,0,0,0,0,0,0
00015,0,0,2,0,2,0,0,0,0,0,0,0
00016,0,0,1,0,2,0,0,0,0,0,0,0
00017,0,0,3,0,2,0,0,0,0,0,0,0
00018,0,1,4,1,2,1,1,1,0,0,0,1
00019,0,1,2,1,2,2,1,1,1,0,0,1
00020,0,0,4,1,2,1,1,1,1,0,0,1
00021,0,0,2,1,3,1,1,0,0,0,0,0
00022,0,0,2,1,2,1,1,0,1,0,0,0
00023,0,0,1,2,3,2,2,0,1,0,0,0
00024,0,0,1,2,4,2,2,0,1,0,0,0
00025,0,1,3,3,4,3,2,1,1,0,0,0
00026,0,2,4,3,4,4,4,1,2,1,0,1
00027,0,0,3,3,4,3,3,1,2,0,0,1
00028,0,0,8,2,5,2,2,0,2,1,0,0
00029,0,0,6,3,6,3,3,0,3,1,0,0
00030,0,1,4,2,3,2,2,1,2,0,0,1
00031,0,1,4,2,5,2,2,1,2,1,0,1
00032,0,0,5,2,5,2,2,0,2,1,0,1
00033,0,2,2,2,3,2,2,1,2,1,0,0
00034,0,3,4,3,3,3,2,1,2,1,0,0
00035,0,2,2,3,5,4,4,1,2,1,1,0
00036,0,3,4,2,4,4,4,1,2,0,2,0
00037,0,6,2,3,3,5,4,2,2,0,2,0
00038,0,5,4,3,4,6,6,1,2,0,2,2
00039,0,5,5,4,8,7,5,1,2,0,3,1
00040,0,7,5,4,5,8,6,1,2,0,4,2
00041,0,5,4,4,3,5,3,1,2,0,1,3
00042,0,4,3,6,7,6,4,1,2,0,0,3
00043,0,2,2,3,7,6,4,1,1,2,0,2
00044,0,2,1,3,10,6,2,1,1,2,0,1
00045,0,3,1,4,5,7,2,2,2,2,0,2
00046,0,2,2,5,5,7,4,2,2,2,0,2
00047,0,3,1,6,9,6,3,1,2,2,0,1
00048,0,4,3,5,8,5,4,2,1,1,0,4
00049,0,3,1,6,5,6,3,1,1,2,0,2
00050,0,3,2,5,6,5,4,1,2,1,0,3
