time,buffer,n_source_fault_overlaps,n_host_fault_overlaps,n_source_inactive_fault_overlaps,n_host_inactive_fault_overlaps,n_source,n_source_host,n_potential_OFM12,n_potential_OFM3,n_OFM3,n_OFM1,n_OFM2
00000,0,0,0,0,0,0,0,0,0,0,0,0
00001,0,0,0,0,0,0,0,0,0,0,0,0
00002,0,0,4,0,0,0,0,0,0,0,0,0
00003,0,0,16,0,0,0,0,0,0,0,0,0
00004,0,0,30,0,0,0,0,0,0,0,0,0
00005,0,0,26,0,0,0,0,0,0,0,0,0
00006,0,0,23,0,0,0,0,0,0,0,0,0
00007,0,0,17,0,0,0,0,0,0,0,0,0
00008,0,0,25,0,0,0,0,0,0,0,0,0
00009,0,0,23,0,0,0,0,0,0,0,0,0
00010,0,0,22,0,0,0,0,0,0,0,0,0
00011,0,0,23,0,0,0,0,0,0,0,0,0
00012,0,0,18,0,0,0,0,0,0,0,0,0
00013,0,0,20,0,0,0,0,0,0,0,0,0
00014,0,0,21,0,0,0,0,0,0,0,0,0
00015,0,0,20,0,0,0,0,0,0,0,0,0
00016,0,0,19,0,0,0,0,0,0,0,0,0
00017,0,0,21,0,1,0,0,0,0,0,0,0
00018,0,0,17,0,1,0,0,0,0,0,0,0
00019,0,0,17,0,2,0,0,0,0,0,0,0
00020,0,0,21,0,4,0,0,0,0,0,0,0
00021,0,0,21,0,3,0,0,0,0,0,0,0
00022,0,0,20,0,3,0,0,0,0,0,0,0
00023,0,0,22,0,5,0,0,0,0,0,0,0
00024,0,0,18,0,6,0,0,0,0,0,0,0
00025,0,0,14,0,4,0,0,0,0,0,0,0
00026,0,0,10,0,6,0,0,0,0,0,0,0
00027,0,0,9,0,6,0,0,0,0,0,0,0
00028,0,0,10,0,6,0,0,0,0,0,0,0
00029,0,0,11,0,8,0,0,0,0,0,0,0
00030,0,1,9,1,9,1,0,1,1,0,0,0
00031,0,1,9,1,10,1,0,1,1,1,0,0
00032,0,1,10,1,9,1,1,1,1,0,0,0
00033,0,0,9,1,8,1,1,0,1,0,0,0
00034,0,0,7,1,9,1,1,0,1,0,0,0
00035,0,0,8,1,9,1,1,0,1,0,0,0
00036,0,0,6,0,9,0,0,0,0,0,0,0
00037,0,0,5,0,7,0,0,0,0,0,0,0
00038,0,0,3,0,9,0,0,0,0,0,0,0
00039,0,1,7,1,7,2,0,1,0,0,0,0
00040,0,0,3,0,7,0,0,0,0,0,0,0
00041,0,2,6,1,8,2,0,1,1,0,0,0
00042,0,1,6,2,6,2,2,1,2,2,0,0
00043,0,0,5,2,7,3,3,0,2,3,0,0
00044,0,0,4,1,7,2,2,0,1,1,0,0
00045,0,0,7,2,9,2,2,0,2,2,0,0
00046,0,1,6,3,9,3,2,1,2,2,0,0
00047,0,2,0,3,10,3,1,0,1,1,0,0
00048,0,1,0,2,7,3,1,0,1,1,0,0
00049,0,1,0,2,7,3,1,0,2,1,0,0
00050,0,2,1,2,8,3,2,1,2,1,0,1
