max_source
6.63
13.31
11.47
11.29
16.08
16.12
13.79
9.24
13.13

64.39
4.02
2.08
4.18
25.19
13.35
40.11
12.86
11.18

29.35
28.68
18.16
17.14
31.11
26.43
29.62
33.76
20.32
